ID;FLG_DEF_6M;Macro Area;Settore
1;1;Sud & Isole;Imprese private
2;1;Sud & Isole;Artigianato e piccole imprese
3;1;Sud & Isole;Imprese private
4;1;Sud & Isole;Imprese private
5;0;Sud & Isole;Artigianato e piccole imprese
6;0;Sud & Isole;Artigianato e piccole imprese
7;0;Nord;Artigianato e piccole imprese
8;1;Nord;Artigianato e piccole imprese
9;0;Nord;Artigianato e piccole imprese
10;0;Centro ;Imprese private
11;0;Nord;Imprese private
12;0;Nord;Artigianato e piccole imprese
13;0;Nord;Artigianato e piccole imprese
14;0;Nord;Imprese private
15;0;Nord;Artigianato e piccole imprese
16;1;Nord;Artigianato e piccole imprese
17;0;Nord;Artigianato e piccole imprese
18;0;Centro ;Artigianato e piccole imprese
19;0;Centro ;Artigianato e piccole imprese
20;0;Centro ;Artigianato e piccole imprese
21;0;Centro ;Artigianato e piccole imprese
22;1;Centro ;Artigianato e piccole imprese
23;1;Centro ;Artigianato e piccole imprese
24;0;Centro ;Artigianato e piccole imprese
25;1;Centro ;Artigianato e piccole imprese
26;0;Centro ;Artigianato e piccole imprese
27;1;Centro ;Artigianato e piccole imprese
28;0;Nord;Artigianato e piccole imprese
29;0;Centro ;Artigianato e piccole imprese
30;1;Sud & Isole;Artigianato e piccole imprese
31;0;Nord;Artigianato e piccole imprese
32;0;Nord;Artigianato e piccole imprese
33;0;Centro ;Imprese private
34;0;Centro ;Imprese private
35;0;Centro ;Artigianato e piccole imprese
36;0;Nord;Artigianato e piccole imprese
37;0;Centro ;Artigianato e piccole imprese
38;0;Nord;Artigianato e piccole imprese
39;0;Nord;Artigianato e piccole imprese
40;0;Nord;Artigianato e piccole imprese
41;0;Nord;Artigianato e piccole imprese
42;0;Centro ;Artigianato e piccole imprese
43;0;Centro ;Artigianato e piccole imprese
44;1;Centro ;Artigianato e piccole imprese
45;1;Nord;Artigianato e piccole imprese
46;0;Nord;Artigianato e piccole imprese
47;1;Centro ;Artigianato e piccole imprese
48;0;Nord;Artigianato e piccole imprese
49;0;Nord;Artigianato e piccole imprese
50;1;Centro ;Imprese private
51;0;Centro ;Artigianato e piccole imprese
52;1;Nord;Artigianato e piccole imprese
53;0;Centro ;Imprese private
54;1;Sud & Isole;Artigianato e piccole imprese
55;0;Sud & Isole;Artigianato e piccole imprese
56;0;Centro ;Artigianato e piccole imprese
57;0;Sud & Isole;Artigianato e piccole imprese
58;1;Centro ;Artigianato e piccole imprese
59;0;Centro ;Artigianato e piccole imprese
60;1;Centro ;Artigianato e piccole imprese
61;0;Nord;Artigianato e piccole imprese
62;1;Nord;Artigianato e piccole imprese
63;0;Nord;Artigianato e piccole imprese
64;0;Nord;Artigianato e piccole imprese
65;0;Centro ;Artigianato e piccole imprese
66;0;Centro ;Artigianato e piccole imprese
67;1;Centro ;Artigianato e piccole imprese
68;0;Centro ;Artigianato e piccole imprese
69;1;Centro ;Imprese private
70;0;Centro ;Artigianato e piccole imprese
71;0;Sud & Isole;Artigianato e piccole imprese
72;0;Nord;Artigianato e piccole imprese
73;0;Centro ;Artigianato e piccole imprese
74;0;Nord;Artigianato e piccole imprese
75;1;Nord;Artigianato e piccole imprese
76;1;Nord;Artigianato e piccole imprese
77;0;Nord;Artigianato e piccole imprese
78;0;Centro ;Imprese private
79;0;Nord;Artigianato e piccole imprese
80;0;Nord;Artigianato e piccole imprese
81;0;Centro ;Artigianato e piccole imprese
82;0;Nord;Artigianato e piccole imprese
83;0;Nord;NGO e altro
84;0;Nord;NGO e altro
85;0;Centro ;Artigianato e piccole imprese
86;0;Centro ;Imprese private
87;0;Centro ;Artigianato e piccole imprese
88;0;Nord;Artigianato e piccole imprese
89;1;Nord;Artigianato e piccole imprese
90;0;Centro ;Artigianato e piccole imprese
91;0;Centro ;Artigianato e piccole imprese
92;0;Nord;Artigianato e piccole imprese
93;0;Nord;Artigianato e piccole imprese
94;0;Centro ;Artigianato e piccole imprese
95;0;Nord;Artigianato e piccole imprese
96;1;Nord;Artigianato e piccole imprese
97;0;Nord;Artigianato e piccole imprese
98;1;Nord;Artigianato e piccole imprese
99;0;Nord;NGO e altro
100;0;Sud & Isole;Artigianato e piccole imprese
101;0;Nord;Imprese private
102;0;Centro ;Artigianato e piccole imprese
103;0;Centro ;Artigianato e piccole imprese
104;0;Nord;Artigianato e piccole imprese
105;0;Nord;Artigianato e piccole imprese
106;0;Nord;Artigianato e piccole imprese
107;0;Nord;Artigianato e piccole imprese
108;0;Centro ;Artigianato e piccole imprese
109;0;Nord;Artigianato e piccole imprese
110;0;Centro ;Artigianato e piccole imprese
111;0;Nord;Artigianato e piccole imprese
112;1;Nord;Artigianato e piccole imprese
113;0;Nord;Artigianato e piccole imprese
114;0;Nord;Imprese private
115;1;Sud & Isole;NGO e altro
116;0;Centro ;Artigianato e piccole imprese
117;0;Nord;Artigianato e piccole imprese
118;0;Sud & Isole;Imprese private
119;0;Nord;Artigianato e piccole imprese
120;0;Centro ;Imprese private
