,ID,FLG_DEF_6M,REGIONE,COD_SAE
0,1,1,Basilicata,430
1,2,1,Basilicata,492
2,3,1,Basilicata,430
3,4,1,Basilicata,430
4,5,0,Puglia,482
5,6,0,Puglia,492
6,7,0,Piemonte,492
7,8,1,Piemonte,492
8,9,0,Liguria,492
9,10,0,Lazio,430
10,11,0,Lombardia,430
11,12,0,Liguria,490
12,13,0,Piemonte,482
13,14,0,Piemonte,430
14,15,0,Liguria,492
15,16,1,Piemonte,492
16,17,0,Piemonte,492
17,18,0,Emilia Romagna,615
18,19,0,Emilia Romagna,492
19,20,0,Emilia Romagna,482
20,21,0,Emilia Romagna,482
21,22,1,Emilia Romagna,614
22,23,1,Emilia Romagna,492
23,24,0,Emilia Romagna,615
24,25,1,Emilia Romagna,492
25,26,0,Emilia Romagna,615
26,27,1,Emilia Romagna,482
27,28,0,Lombardia,492
28,29,0,Emilia Romagna,482
29,30,1,Puglia,492
30,31,0,Liguria,492
31,32,0,Lombardia,482
32,33,0,Emilia Romagna,430
33,34,0,Emilia Romagna,430
34,35,0,Emilia Romagna,492
35,36,0,Liguria,492
36,37,0,Emilia Romagna,482
37,38,0,Lombardia,492
38,39,0,Lombardia,482
39,40,0,Piemonte,492
40,41,0,Lombardia,492
41,42,0,Emilia Romagna,492
42,43,0,Emilia Romagna,491
43,44,1,Emilia Romagna,492
44,45,1,Piemonte,492
45,46,0,Lombardia,482
46,47,1,Emilia Romagna,492
47,48,0,Liguria,482
48,49,0,Liguria,492
49,50,1,Toscana,430
50,51,0,Emilia Romagna,482
51,52,1,Liguria,492
52,53,0,Emilia Romagna,430
53,54,1,Basilicata,492
54,55,0,Sicilia,492
55,56,0,Emilia Romagna,615
56,57,0,Basilicata,492
57,58,1,Emilia Romagna,492
58,59,0,Emilia Romagna,492
59,60,1,Emilia Romagna,482
60,61,0,Liguria,492
61,62,1,Liguria,482
62,63,0,Liguria,482
63,64,0,Lombardia,492
64,65,0,Emilia Romagna,482
65,66,0,Emilia Romagna,482
66,67,1,Emilia Romagna,492
67,68,0,Lazio,492
68,69,1,Toscana,430
69,70,0,Emilia Romagna,492
70,71,0,Puglia,482
71,72,0,Liguria,492
72,73,0,Toscana,491
73,74,0,Liguria,492
74,75,1,Lombardia,492
75,76,1,Lombardia,482
76,77,0,Liguria,482
77,78,0,Emilia Romagna,430
78,79,0,Liguria,492
79,80,0,Lombardia,615
80,81,0,Toscana,492
81,82,0,Lombardia,615
82,83,0,Piemonte,500
83,84,0,Piemonte,500
84,85,0,Emilia Romagna,492
85,86,0,Emilia Romagna,430
86,87,0,Emilia Romagna,491
87,88,0,Lombardia,615
88,89,1,Lombardia,482
89,90,0,Emilia Romagna,482
90,91,0,Emilia Romagna,492
91,92,0,Lombardia,492
92,93,0,Piemonte,492
93,94,0,Emilia Romagna,482
94,95,0,Liguria,492
95,96,1,Piemonte,492
96,97,0,Piemonte,492
97,98,1,Liguria,482
98,99,0,Piemonte,501
99,100,0,Basilicata,492
100,101,0,Piemonte,430
101,102,0,Emilia Romagna,492
102,103,0,Emilia Romagna,482
103,104,0,Lombardia,482
104,105,0,Lombardia,615
105,106,0,Liguria,482
106,107,0,Piemonte,492
107,108,0,Emilia Romagna,482
108,109,0,Piemonte,492
109,110,0,Emilia Romagna,482
110,111,0,Liguria,492
111,112,1,Liguria,482
112,113,0,Liguria,482
113,114,0,Liguria,430
114,115,1,Sicilia,500
115,116,0,Emilia Romagna,492
116,117,0,Lombardia,615
117,118,0,Puglia,430
118,119,0,Lombardia,615
119,120,0,Emilia Romagna,430
120,121,0,Emilia Romagna,482
121,122,0,Liguria,430
122,123,0,Emilia Romagna,501
123,124,0,Piemonte,482
124,125,0,Piemonte,492
125,126,0,Calabria,492
126,127,0,Liguria,615
127,128,0,Lombardia,482
128,129,0,Emilia Romagna,482
129,130,0,Lombardia,482
130,131,0,Lombardia,430
131,132,0,Lombardia,482
132,133,0,Liguria,430
133,134,0,Liguria,492
134,135,0,Sicilia,492
135,136,0,Umbria,482
136,137,0,Toscana,492
137,138,0,Lombardia,482
138,139,0,Emilia Romagna,482
139,140,0,Emilia Romagna,430
140,141,0,Piemonte,501
141,142,0,Emilia Romagna,482
142,143,0,Lombardia,492
143,144,0,Lombardia,482
144,145,0,Lombardia,482
145,146,0,Lombardia,492
146,147,0,Emilia Romagna,492
147,148,0,Lombardia,490
148,149,0,Lombardia,492
149,150,0,Emilia Romagna,615
150,151,0,Emilia Romagna,492
151,152,1,Basilicata,492
152,153,0,Emilia Romagna,492
153,154,0,Lombardia,430
154,155,0,Lombardia,482
155,156,0,Lombardia,492
156,157,1,Emilia Romagna,491
157,158,0,Liguria,492
158,159,0,Lombardia,492
159,160,0,Piemonte,492
160,161,0,Piemonte,482
161,162,0,Piemonte,482
162,163,0,Sicilia,492
163,164,0,Lombardia,615
164,165,0,Emilia Romagna,482
165,166,0,Liguria,482
166,167,1,Lombardia,482
167,168,0,Lombardia,492
168,169,0,Piemonte,482
169,170,1,Emilia Romagna,615
170,171,0,Lombardia,501
171,172,0,Lombardia,430
172,173,0,Lombardia,615
173,174,0,Emilia Romagna,482
174,175,0,Liguria,482
175,176,0,Lombardia,615
176,177,0,Umbria,482
177,178,0,Emilia Romagna,501
178,179,1,Emilia Romagna,492
179,180,0,Sicilia,492
180,181,0,Lombardia,430
181,182,0,Emilia Romagna,492
182,183,0,Liguria,501
183,184,0,Lombardia,482
184,185,0,Lombardia,482
185,186,0,Lombardia,482
186,187,0,Umbria,482
187,188,1,Toscana,430
188,189,1,Emilia Romagna,492
189,190,0,Lombardia,482
190,191,0,Lombardia,492
191,192,0,Emilia Romagna,430
192,193,0,Liguria,482
193,194,0,Lombardia,492
194,195,0,Lombardia,430
195,196,1,Emilia Romagna,482
196,197,0,Lombardia,482
197,198,0,Liguria,492
198,199,0,Lombardia,430
199,200,0,Basilicata,430
200,201,0,Lazio,430
201,202,0,Lombardia,482
202,203,0,Emilia Romagna,492
203,204,0,Umbria,482
204,205,0,Lombardia,482
205,206,0,Lombardia,492
206,207,0,Lombardia,492
207,208,0,Liguria,492
208,209,0,Emilia Romagna,492
209,210,0,Emilia Romagna,492
210,211,0,Lombardia,482
211,212,0,Puglia,482
212,213,0,Sicilia,430
213,214,0,Emilia Romagna,490
214,215,0,Lombardia,482
215,216,0,Liguria,430
216,217,0,Lombardia,482
217,218,0,Emilia Romagna,615
218,219,0,Liguria,492
219,220,0,Emilia Romagna,492
220,221,1,Emilia Romagna,482
221,222,0,Emilia Romagna,482
222,223,1,Lombardia,482
223,224,0,Liguria,482
224,225,0,Lombardia,430
225,226,1,,430
226,227,0,Emilia Romagna,482
227,228,0,Emilia Romagna,615
228,229,0,Emilia Romagna,615
229,230,0,Lombardia,492
230,231,0,Liguria,615
231,232,0,Emilia Romagna,615
232,233,0,Lombardia,615
233,234,0,Emilia Romagna,615
234,235,0,Lombardia,480
235,236,0,Emilia Romagna,482
236,237,0,Lombardia,500
237,238,0,Lombardia,615
238,239,0,Liguria,492
239,240,0,Lombardia,482
240,241,0,Liguria,492
241,242,1,Toscana,482
242,243,1,Emilia Romagna,430
243,244,0,Emilia Romagna,430
244,245,0,Lombardia,430
245,246,0,Emilia Romagna,492
246,247,0,Toscana,492
247,248,0,Lombardia,492
248,249,0,Lombardia,430
249,250,0,Liguria,482
250,251,0,Lombardia,430
251,252,0,Emilia Romagna,482
252,253,1,Lombardia,482
253,254,0,Lombardia,492
254,255,0,Emilia Romagna,492
255,256,0,Umbria,482
256,257,0,Emilia Romagna,492
257,258,0,Lombardia,482
258,259,0,Lombardia,492
259,260,0,Liguria,492
260,261,0,Emilia Romagna,492
261,262,0,Emilia Romagna,501
262,263,0,Liguria,492
263,264,0,Emilia Romagna,615
264,265,0,Lombardia,482
265,266,0,Emilia Romagna,615
266,267,0,Emilia Romagna,482
267,268,0,Lombardia,482
268,269,1,Emilia Romagna,615
269,270,0,Emilia Romagna,430
270,271,1,Umbria,492
271,272,0,Emilia Romagna,615
272,273,0,Basilicata,615
273,274,1,Sicilia,482
274,275,0,Emilia Romagna,615
275,276,0,Liguria,490
276,277,0,Lombardia,482
277,278,0,Umbria,492
278,279,0,Emilia Romagna,482
279,280,0,Lombardia,482
280,281,1,Toscana,430
281,282,0,Basilicata,492
282,283,0,Liguria,430
283,284,0,Emilia Romagna,492
284,285,0,Lombardia,430
285,286,0,Lombardia,482
286,287,0,Calabria,500
287,288,1,Lombardia,482
288,289,0,Emilia Romagna,492
289,290,0,Lombardia,492
290,291,0,Lombardia,482
291,292,0,Emilia Romagna,482
292,293,0,Emilia Romagna,482
293,294,0,Liguria,492
294,295,0,Emilia Romagna,430
295,296,0,Lombardia,482
296,297,0,Calabria,492
297,298,0,Lazio,500
298,299,0,Lombardia,482
299,300,0,Emilia Romagna,430
300,301,1,Toscana,430
301,302,0,Marche,500
302,303,0,Lombardia,482
303,304,0,Liguria,500
304,305,0,Emilia Romagna,492
305,306,0,Liguria,492
306,307,0,Emilia Romagna,492
307,308,0,Liguria,492
308,309,0,Emilia Romagna,492
309,310,0,Emilia Romagna,492
310,311,1,Emilia Romagna,482
311,312,0,Emilia Romagna,492
312,313,0,Emilia Romagna,482
313,314,0,Emilia Romagna,492
314,315,1,Calabria,492
315,316,0,Emilia Romagna,492
316,317,0,Emilia Romagna,492
317,318,0,Emilia Romagna,615
318,319,0,Emilia Romagna,615
319,320,1,Emilia Romagna,492
320,321,0,Emilia Romagna,492
321,322,0,Emilia Romagna,615
322,323,0,Lombardia,492
323,324,0,Emilia Romagna,492
324,325,0,Basilicata,492
325,326,0,Lombardia,482
326,327,0,Emilia Romagna,492
327,328,0,Emilia Romagna,482
328,329,0,Emilia Romagna,492
329,330,0,Toscana,492
330,331,0,Emilia Romagna,492
331,332,0,Calabria,430
332,333,0,Emilia Romagna,492
333,334,0,Toscana,490
334,335,0,Emilia Romagna,492
335,336,0,Emilia Romagna,492
336,337,0,Sicilia,492
337,338,1,Emilia Romagna,492
338,339,1,Sicilia,492
339,340,0,Liguria,492
340,341,0,Liguria,492
341,342,0,Liguria,492
342,343,0,Emilia Romagna,492
343,344,0,Emilia Romagna,492
344,345,0,Emilia Romagna,492
345,346,0,Puglia,492
346,347,0,Liguria,492
347,348,0,Liguria,492
348,349,0,Lombardia,482
349,350,0,Emilia Romagna,491
350,351,0,Liguria,615
351,352,0,Emilia Romagna,492
352,353,1,Lombardia,430
353,354,0,Lombardia,492
354,355,0,Lombardia,482
355,356,0,Lombardia,482
356,357,0,Lombardia,482
357,358,0,Emilia Romagna,482
358,359,0,Lombardia,482
359,360,0,Emilia Romagna,482
360,361,1,Emilia Romagna,482
361,362,0,Umbria,482
362,363,0,Liguria,492
363,364,0,Piemonte,492
364,365,0,Lombardia,492
365,366,0,Liguria,615
366,367,0,Emilia Romagna,492
367,368,0,Lombardia,492
368,369,1,Emilia Romagna,430
369,370,0,Liguria,482
370,371,0,Umbria,492
371,372,0,Emilia Romagna,430
372,373,0,Emilia Romagna,492
373,374,0,Lombardia,500
374,375,0,Toscana,430
375,376,1,Lombardia,482
376,377,0,Piemonte,492
377,378,1,Liguria,492
378,379,0,Emilia Romagna,492
379,380,0,Umbria,500
380,381,0,Piemonte,492
381,382,0,Lombardia,490
382,383,1,Emilia Romagna,430
383,384,0,Toscana,492
384,385,0,Emilia Romagna,490
385,386,0,Lombardia,430
386,387,0,Toscana,615
387,388,0,Puglia,492
388,389,0,Piemonte,492
389,390,1,Lombardia,492
390,391,0,Lombardia,482
391,392,0,Puglia,492
392,393,0,Emilia Romagna,492
393,394,1,Emilia Romagna,430
394,395,0,Emilia Romagna,492
395,396,0,Emilia Romagna,500
396,397,0,Liguria,482
397,398,0,Sicilia,430
398,399,0,Liguria,492
399,400,0,Lombardia,492
400,401,0,Toscana,500
401,402,0,Lombardia,482
402,403,0,Emilia Romagna,492
403,404,0,Piemonte,492
404,405,0,Piemonte,430
405,406,0,Liguria,492
406,407,0,Liguria,492
407,408,0,Basilicata,492
408,409,0,Emilia Romagna,482
409,410,0,Piemonte,482
410,411,0,Liguria,492
411,412,0,Piemonte,492
412,413,0,Lombardia,430
413,414,0,Piemonte,492
414,415,0,Umbria,482
415,416,0,Emilia Romagna,500
416,417,0,Liguria,492
417,418,0,Emilia Romagna,501
418,419,0,Emilia Romagna,492
419,420,1,Emilia Romagna,482
420,421,0,Piemonte,492
421,422,1,Umbria,492
422,423,1,Piemonte,482
423,424,0,Piemonte,482
424,425,0,Emilia Romagna,482
425,426,0,Emilia Romagna,492
426,427,0,Piemonte,492
427,428,0,Piemonte,492
428,429,0,Lombardia,482
429,430,0,Puglia,492
430,431,1,Liguria,482
431,432,0,Piemonte,482
432,433,0,Emilia Romagna,482
433,434,1,Toscana,482
434,435,0,Lombardia,482
435,436,0,Liguria,482
436,437,1,Emilia Romagna,482
437,438,0,Piemonte,492
438,439,0,Liguria,500
439,440,0,Lombardia,492
440,441,0,Emilia Romagna,500
441,442,0,Liguria,615
442,443,0,Emilia Romagna,482
443,444,0,Piemonte,492
444,445,0,Emilia Romagna,482
445,446,0,Puglia,492
446,447,0,Lombardia,492
447,448,0,Umbria,482
448,449,0,Piemonte,492
449,450,1,Liguria,492
450,451,0,Sicilia,490
451,452,0,Piemonte,482
452,453,1,Liguria,482
453,454,0,Emilia Romagna,482
454,455,1,Basilicata,491
455,456,1,Liguria,492
456,457,0,Emilia Romagna,430
457,458,0,Piemonte,615
458,459,0,Liguria,492
459,460,1,Piemonte,492
460,461,0,Lombardia,482
461,462,0,Liguria,492
462,463,1,Lombardia,482
463,464,0,Liguria,482
464,465,0,Piemonte,492
465,466,0,Umbria,492
466,467,1,Emilia Romagna,482
467,468,0,Liguria,492
468,469,0,Liguria,482
469,470,1,Emilia Romagna,492
470,471,0,Emilia Romagna,492
471,472,0,Lombardia,492
472,473,0,Piemonte,482
473,474,0,Lombardia,492
474,475,0,Lombardia,482
475,476,0,Liguria,492
476,477,0,Emilia Romagna,492
477,478,1,Lombardia,482
478,479,1,Umbria,430
479,480,0,Piemonte,492
480,481,0,Lombardia,430
481,482,0,Piemonte,492
482,483,0,Emilia Romagna,482
483,484,0,Lombardia,482
484,485,0,Emilia Romagna,492
485,486,0,Piemonte,492
486,487,0,Emilia Romagna,492
487,488,0,Emilia Romagna,482
488,489,0,Piemonte,482
489,490,0,Emilia Romagna,492
490,491,0,Sicilia,500
491,492,0,Piemonte,492
492,493,1,Lombardia,492
493,494,0,Lombardia,491
494,495,0,Piemonte,482
495,496,1,Emilia Romagna,482
496,497,0,Emilia Romagna,615
497,498,0,Liguria,492
498,499,0,Lombardia,615
499,500,0,Emilia Romagna,492
500,501,1,Lombardia,430
501,502,1,Emilia Romagna,482
502,503,0,Lombardia,482
503,504,0,Piemonte,430
504,505,0,Piemonte,492
505,506,1,Emilia Romagna,615
506,507,0,Basilicata,482
507,508,0,Lombardia,482
508,509,0,Piemonte,482
509,510,0,Lombardia,430
510,511,0,Sicilia,492
511,512,0,Lombardia,492
512,513,0,Basilicata,492
513,514,0,Piemonte,492
514,515,0,Basilicata,492
515,516,0,Sicilia,492
516,517,0,Emilia Romagna,492
517,518,1,Umbria,430
518,519,0,Puglia,492
519,520,0,Emilia Romagna,492
520,521,0,Emilia Romagna,480
521,522,0,Lombardia,492
522,523,0,Lombardia,492
523,524,0,Emilia Romagna,615
524,525,0,Lombardia,492
525,526,0,Piemonte,492
526,527,0,Piemonte,492
527,528,0,Umbria,482
528,529,0,Toscana,430
529,530,1,Calabria,492
530,531,0,Lombardia,500
531,532,0,Emilia Romagna,482
532,533,0,Lombardia,430
533,534,0,Lombardia,482
534,535,0,Emilia Romagna,492
535,536,1,Lombardia,482
536,537,0,Piemonte,492
537,538,0,Lombardia,482
538,539,0,Emilia Romagna,482
539,540,0,Piemonte,492
540,541,0,Piemonte,492
541,542,0,Piemonte,482
542,543,1,Liguria,492
543,544,1,Liguria,482
544,545,0,Sicilia,482
545,546,0,Liguria,492
546,547,1,Emilia Romagna,430
547,548,1,Sicilia,482
548,549,1,Lazio,492
549,550,0,Basilicata,615
550,551,0,Emilia Romagna,492
551,552,0,Piemonte,482
552,553,0,Emilia Romagna,482
553,554,0,Emilia Romagna,482
554,555,0,Emilia Romagna,492
555,556,0,Lombardia,482
556,557,0,Emilia Romagna,482
557,558,0,Piemonte,492
558,559,1,Piemonte,492
559,560,0,Basilicata,482
560,561,0,Piemonte,482
